Concept ID,Norwegian Term,English Term,Released,VSO Applicable
1025971000202108,folsyre mikstur 200 mikrog/ml,Folic acid 200 microgram/mL oral liquid,,True
330295009,kloramfenikol øyesalve 10 mg/g,Chloramphenicol 10 mg/g eye ointment,,True
1023621000202104,jomeprol inj væske 350 mg/ml,Iomeprol 350 mg/mL solution for injection,,False
385542009,olmesartanmedoksomil tab 20 mg,Olmesartan medoxomil 20 mg oral tablet,,True
1039541000202109,"trometamol kons til inf væske 3,3 mmol/ml",Tromethamine 3.3 mmol/mL concentrate for solution for infusion,,True
1026881000202107,naloksonhydroklorid (som naloksonhydrokloriddihydrat) inj/inf væske 400 mikrog/ml,Naloxone hydrochloride (as naloxone hydrochloride dihydrate) 400 microgram/mL solution for infusion or injection,,True
765512009,metylfenidathydroklorid DEPOTtab 27 mg,Methylphenidate hydrochloride 27 mg prolonged-release oral tablet,,True
1076721000202103,antazolinhydroklorid/tetryzolinhydroklorid øyedr 500 mikrog/ml + 400 mikrog/ml,Antazoline hydrochloride 500 microgram/mL and tetrahydrozoline hydrochloride 400 microgram/mL eye drops solution,,True
1023041000202100,brekspiprazol tab 2 mg,Brexpiprazole 2 mg oral tablet,,True
1287112007,melatonin tab 3 mg,Melatonin 3 mg oral tablet,,True
442918005,tolvaptan tab 30 mg,Tolvaptan 30 mg oral tablet,,True
1040441000202103,somatropin inj væske 5 mg/amp,Somatropin 5 mg solution for injection cartridge,,True
1287152009,amoksicillin (som amoksicillinnatrium)/klavulansyre (som kaliumklavulanat) pulv til inj væske 500 mg/hgl + 50 mg/hgl,Amoxicillin (as amoxicillin sodium) 500 mg and clavulanic acid (as clavulanate potassium) 50 mg powder for solution for injection vial,,True
1162381002,flunarizindihydroklorid tab 5 mg,Flunarizine (as flunarizine hydrochloride) 5 mg oral tablet,,True
408157009,metylaminolevulinat (som metylaminolevulinathydroklorid) krem 160 mg/g,Methyl aminolevulinate (as methyl aminolevulinate hydrochloride) 160 mg/g cutaneous cream,,True
423176002,aripiprazol smeltetab 15 mg,Aripiprazole 15 mg orodispersible tablet,,True
