ID,Varenavn,Produsent,ATC Kode
ID_000A27B8-3930-4264-80F9-CDB14C895662,"Kodimagnyl Ikke-stoppende dak tab 9,6 mg/500 mg/150 mg",Orifarm Healthcare,N02AJ07
ID_000C0AFE-42AE-4522-AE22-BAAF5746D81E,"Minirin tab 0,1 mg",Ferring,H01BA02
ID_0010100D-6A23-432D-B862-4342D6B8C6F0,"Ciproxin granulat+væske til mikst, susp 50 mg/ml",Bayer,J01MA02
ID_001E669B-BB40-43CB-8526-5C8544AE6E1F,"Migard tab 2,5 mg",Menarini Pharma,N02CC07
ID_00265F3C-AE56-4D54-BC23-3BB33DE68E61,"Crysvita inj, oppl 30 mg",Kyowa Kirin Holdings B.V.,M05BX05
ID_00308B8A-9451-4D0E-95B7-4020C976CB83,Ospolot tab 50 mg,Ukjent (2),N03AX03
ID_00312659-1D87-4798-A541-9B2988FEF500,Complete Bra tranebær tab 200 mg,Karo Pharma AS,
ID_0033F53F-B83F-4FEB-B9A6-D6B5DF0C7C03,"Depo -Estradiol inj, oppl 5 mg/ml",Pharmacia & Upjohn,G03CA03
ID_005A9ED4-09E2-4BDD-86D6-AD9485260378,"Vismed øyegel 0,3 % w/v",TRB Chemedica,S01KA01
ID_005DE394-2D7E-4FD6-A194-6E93D62DCE6F,"Gentamicin B. Braun inf, oppl 1 mg/ml",B. Braun Melsungen  AG,J01GB03
ID_006CE235-FF44-471C-A58A-3B69C7225E4A,Idelvion pulv+væske til inj oppl 1000 IE,CSL Behring GmbH (2),B02BD04
ID_007946B5-3F24-4EF8-AEEE-0AE3EAD457E6,"Metex inj, oppl 30 mg/penn",Medac - Gesellschaft für klinische Spezialpräparate Gmbh - Wedel,L04AX03
ID_00895678-C392-43CE-A908-315268351D9B,"Jext inj, oppl 300 mikrog/penn",ALK-Abelló AS,C01CA24
ID_008A3854-43E6-44F8-AC29-716FD3E404C2,"Aranesp inj, oppl 60 mikrog/penn",Amgen Europe B.V.,B03XA02
ID_008DCB61-38E6-40F1-A55A-7EF7D7E51F42,"Otrivin Comp nesespray oppl 0,5 mg/ml/0,6 mg/ml",Haleon Denmark ApS,R01AB06
ID_00987D68-43A9-4F9B-AD11-BEA7E64D504E,Lomuspray nesespray oppl 21 mikrog/dose,Sanofi,R01AX03
